Victim,Killer,Cause
Scolippi's Girlfriend,Scolippi's Girlfriend,Jumped off a roof
Scotland Yard Inspector,Dio Brando,Head torn off
Secco,Bruno Bucciarati,Crushed to death
Sherry Polnareff,J. Geil,Unknown
Shigekiyo Yangu,Yoshikage Kira,Exploded
Singapore Hotel Valet,Devo the Cursed,Face sliced off
Sorbet,Cioccolata,Sliced into pieces
Squalo,Narancia Ghirga,Shot to death
Straizo,Straizo,Vaporized
Superior Officer Zombie,Lisa Lisa,Vaporized
Takashi Sugimoto,Yoshikage Kira,Unknown
Tama,Shinobu Kawajiri,Impaled on broken glass
Tarkus,Executioner,Beheaded
Tarkus,Jonathan Joestar,Vaporized
Tiziano,Narancia Ghirga,Shot to death
Vampire Prisoner,Santana,Absorbed
Vanilla Ice,Jean Pierre Polnareff,Vaporized
Varanasi Doctor,Nena,Face torn with a scalpel
Vinegar Doppio,Guido Mista,Shot to death
Wamuu,Joseph Joestar,Vaporized
Wang Chan,Jonathan Joestar,Head crushed and vaporized
Wealthy Beggar,Pet Shop,Crushed to death
Will Anthonio Zeppeli,Tarkus,Sliced in half
Will's Father,Sun,Vaporized
Wilson Phillips,Dio Brando,Thrown at a moving truck
Wired Beck,Lisa Lisa,Vaporized
Yoshihiro Kira,Natural Causes,Cancer
Yoshihiro Kira,Yoshikage Kira,Caught in an explosion
Yoshikage Kira,Ambulance driver,Head crushed by an ambulance
Zombie Mother's Baby,Mother of Baby,Eaten alive
