character	killed by	caused by	death	type
Shinsuke Nishikawa	Gantz		Head blown off by Gantz	
Shion Izumi			Died from unknown causes (revived by Gantz)	temporary
Shion Izumi	Kei Kurono	Shion Izumi	Forced Kei Kurono to shoot him during the Shinjuku Street Massacre (revived by Gantz)	temporary
Shopping Tanaka Alien	Kei Kurono	Gantz	Sent away by Kei Kurono using the Y-gun on orders from Gantz	
Shorty Alien Group	Kei Kurono	Gantz	Blown up when shot by Kei Kurono on orders from Gantz	
Shunichi Ike			Died from unknown causes (revived by Gantz)	temporary
Shunichi Ike	Gantz		Head blown off by Gantz	
Strong Shorty Alien	Kei Kurono	Gantz	Blown up when shot by Kei Kurono on orders from Gantz	
Surviving Shorty Alien	Kei Kurono		Head blown up after being shot by Kei Kurono	
T-rex Aliens	Kei Kurono | Shion Izumi	Gantz	Two are shot by Kei Kurono, another is cut in half by Shion Izumi, all on orders from Gantz	
Takashi Inamori			Crushed by a falling steel beam (revived by Gantz)	temporary
Takashi Inamori	Adult Onion Alien		Head torn off by the Adult Onion Alien (anime only)	
Takashi Inamori	Adult Onion Alien		Stomach ripped open by the Adult Onion Alien	
Takashi Otani			Died from unknown causes (revived by Gantz)	temporary
Takashi Otani	Vampire Bosses		Shot by the Vampire Bosses	
Tanaka Alien Eggs	Kei Kurono	Gantz	Destroyed when Kei Kurono collapsed a building on them on orders from Gantz	
Tanaka Alien Hatchlings	Joichiro Nishi | Kei Kurono	Gantz	One is shot by Joichiro Nishi and the others are crushed in a collapsing building by Kei Kurono on orders from Gantz	
Tanaka Aliens' Boss	Kei Kurono	Gantz	Head blown off after being shot by Kei Kurono on orders from Gantz	
Tetsuo Nemoto			Stabbed by a rival biker gang member (revived by Gantz)	temporary
Tetsuo Nemoto	Gantz		Head blown off by Gantz	
Tetsuo Tamura			Died from unknown causes (revived by Gantz)	temporary
Tetsuo Tamura	Gantz		Head blown off by Gantz	
Toshizo Takeda			Died from unknown causes (revived by Gantz)	temporary
Toshizo Takeda	T-rex Aliens	Kappe Alien	Devoured by one of the T-rex Aliens on orders from the Kappe Alien	
Triceratops Aliens	Shion Izumi | T-rex Aliens	Gantz	One split in half by Shion Izumi using his Gantz Sword, two are incinerated by the T-rex Aliens, all on orders from Gantz	
Utahraptor Aliens	Kei Kurono | Hiroto Sakurai | Kenzo Sakata | Daizaemon Kaze	Gantz	One has its head blown up by Kei Kurono, multiple have their hearts destroyed by Hiroto Sakurai and Kenzo Sakata and some are struck by Daizaemon Kaze using his elbows, all on orders from Gantz	
Yoshikazu Suzuki	Shion Izumi		Gunned down by Shion Izumi during the Shinjuku Street Massacre (revived by Gantz)	temporary
Yoshino Uehara			Stabbed multiple times by a woman (revived by Gantz)	temporary
Yoshino Uehara	Hajime Muroto		Blew up after being shot by Hajime Muroto	
Yujiro Kato			Died from unknown causes (revived by Gantz)	temporary
Yujiro Kato	Utahraptor Aliens		Bisected by one of the Utahraptor Aliens	
Yuta Kondo			Died from unknown causes (revived by Gantz)	temporary
Yuta Kondo	Kannon		Sliced into pieces by Kannon's sword	
