character	killed by	caused by	death	type
G-OLM	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Alice Ending)	non-canon
G-OLM	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Sigma Ending)	non-canon
Junpei Tenmyouji		Dio | Zero Senior | Akane Kurashiki | Zero III	Injected with tubocurarine by his bracelet after receiving a penalty due to being handcuffed to a sink by Dio, during the Nonary Game overseen by Zero Senior, Akane Kurashiki and Zero III (Luna Route)	non-canon
Junpei Tenmyouji		Junpei Tenmyouji | Zero Senior | Akane Kurashiki | Zero III	Injected with tubocurarine by his bracelet after willingly receiving a penalty to save Quark, during the Nonary Game overseen by Zero Senior, Akane Kurashiki and Zero III (Luna Bad Ending I)	non-canon
Junpei Tenmyouji	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Alice Ending)	non-canon
Junpei Tenmyouji	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Sigma Ending)	non-canon
Junpei Tenmyouji	Junpei Tenmyouji	Zero Senior | Akane Kurashiki	Committed suicide with a scalpel due to being infected with Radical-6 by Zero Senior and Akane Kurashiki (Clover Ending)	non-canon
K		K | Zero Senior | Akane Kurashiki | Zero III	Injected with tubocurarine by his bracelet after receiving a penalty due to circumstances he orchestrated, during the Nonary Game overseen by Zero Senior, Akane Kurashiki and Zero III (K Ending)	non-canon
K	Dio		Struck in the back with an axe by Dio (Luna Route)	non-canon
Kyle Klim	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Alice Ending)	non-canon
Kyle Klim	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Sigma Ending)	non-canon
Left			Murdered by an unknown person	
Lord Hoppington			Died from unknown causes	
Luna	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Alice Ending)	non-canon
Luna	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Sigma Ending)	non-canon
Luna	Zero III		Deleted by Zero III (Luna Ending)	non-canon
Phi	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Alice Ending)	non-canon
Phi	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Sigma Ending)	non-canon
Phi	Phi	Zero Senior | Akane Kurashiki	Committed suicide with a scalpel due to being infected with Radical-6 by Zero Senior and Akane Kurashiki (Clover Ending)	non-canon
Quark	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Alice Ending)	non-canon
Quark	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Sigma Ending)	non-canon
Sigma Klim		Alice | Zero Senior | Akane Kurashiki | Zero III	Injected with tubocurarine by his bracelet after receiving a penalty due to being betrayed by Alice, during the Nonary Game overseen by Zero Senior, Akane Kurashiki and Zero III (Alice Bad Ending)	non-canon
Sigma Klim		K | Zero Senior | Akane Kurashiki | Zero III	Injected with tubocurarine by his bracelet after receiving a penalty due to circumstances orchestrated by K, during the Nonary Game overseen by Zero Senior, Akane Kurashiki and Zero III (K Ending)	non-canon
Sigma Klim	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Alice Ending)	non-canon
Sigma Klim	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Sigma Ending)	non-canon
Sigma Klim	Sigma Klim	Zero Senior | Akane Kurashiki	Committed suicide with a scalpel due to being infected with Radical-6 by Zero Senior and Akane Kurashiki (Clover Ending)	non-canon
Suicidal Newscaster	Suicidal Newscaster		Shot herself in the head	
Zero III	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Alice Ending)	non-canon
Zero III	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Sigma Ending)	non-canon
