character	killed by	induced by	death	type
Pieta, She of Blessed Renewal	The Lampbearer | The Iron Wayfarer		Slain by the Lampbearer, assisted by the Iron Wayfarer (revived)	revived
Ranik			Finally perished alone in the Defiled Sepulchre	
Rapturous Huntress Lirenne	The Lampbearer | The Iron Wayfarer		Slain by the Lampbearer, assisted by the Iron Wayfarer	
Reinhold the Immured	The Lampbearer | Kukajin		Slain by the Lampbearer, assisted by Kukajin	
Rosamund			Died from unknown causes (returned as a Lampbearer)	revived
Rosamund			Finally perished in the Abbey of the Hallowed Sisters	
Ruiner	The Lampbearer		Slain by the Lampbearer	
Scourged Sister Delyth	The Lampbearer		Slain by the Lampbearer	
Sebastian			Finally perished in Lower Calrath	
Skinstealer	The Lampbearer		Slain by the Lampbearer	
Sparky	Gerlinde		Murdered and turned into Crafter's Essence by Gerlinde (dependent on player choice)	determinant
Spurned Progeny	The Lampbearer		Slain by the Lampbearer	
Stomund, Captain of the Fidelis	Judge Cleric, the Radiant Sentinel		Impaled on a banner by Judge Cleric, the Radiant Sentinel	
Svornil			Finally perished in the Fief of the Chill Curse	
Tancred, Master of Castigations	The Lampbearer | Kukajin		Slain by the Lampbearer, assisted by Kukajin	
The Congregator of Flesh	The Lampbearer		Slain by the Lampbearer	
The Hollow Crow	The Lampbearer | Kukajin | Pieta, She of Blessed Renewal | The Iron Wayfarer | Forlorn Hound		Slain by the Lampbearer, assisted by Kukajin, Pieta, the Iron Wayfarer or the Forlorn Hound	
The Hushed Saint	The Lampbearer | Damarose the Marked | Kukajin | Pieta, She of Blessed Renewal | Stomund, Captain of the Fidelis | The Iron Wayfarer | Tortured Prisoner		Slain by the Lampbearer, assisted by Damarose, Kukajin, Pieta, Stomund, the Iron Wayfarer or the Tortured Prisoner	
The Iron Wayfarer	The Lampbearer		Perishes when the Lampbearer uses a seedpod on him (dependent on player choice)	determinant
The Iron Wayfarer	The Lampbearer		Slain by the Lampbearer (remained in the Umbral Realm)	physical
The Lampbearer	Orius		Vaporized by Orius (dependent on player choice)	determinant
The Lampbearer	Putrid Mother	The Lampbearer	Allows themself to be consumed by the Putrid Mother (dependent on player choice)	determinant
The Lightreaper	The Lampbearer | Andreas of Ebb | Kukajin | Pieta, She of Blessed Renewal | Paladin Isaac		Slain by the Lampbearer, assisted by Andreas of Ebb, Kukajin, Pieta or an umbral imprint of Paladin Isaac	
The Sacred Resonance of Tenacity	The Lampbearer		Slain by the Lampbearer	
The Sundered Monarch	The Lampbearer | Kukajin | Pieta, She of Blessed Renewal | Tortured Prisoner		Slain by the Lampbearer, assisted by Kukajin, Pieta or the Tortured Prisoner	
The Unbroken Promise	The Lampbearer | Kukajin | Pieta, She of Blessed Renewal		Slain by the Lampbearer, assisted by Kukajin or Pieta	
Tortured Prisoner	The Lampbearer		Slain by the Lampbearer (dependent on player choice)	determinant
Valade			Consumed by her own Umbral Lamp in the Forsaken Fen	
Winterberry	Byron		Bludgeoned with a shovel by Byron (dependent on player choice)	determinant
