character	killed by	caused by	death	type
Daughter of Crystal Kriemhild	Ashen One		Slain by the Ashen One (revived)	revived
Deacons of the Deep	Ashen One | Anri of Astora | Horace the Hushed | Sirris of the Sunless Realms		Slain by the Ashen One, assisted by Anri of Astora, Horace the Hushed or Sirris of the Sunless Realms	
Deep Accursed (Anor Londo)	Ashen One		Slain by the Ashen One	
Deep Accursed (Cathedral of the Deep)	Ashen One		Slain by the Ashen One	
Demon (Catacombs of Carthus)	Ashen One		Slain by the Ashen One	
Demon (Undead Settlement)	Ashen One		Slain by the Ashen One	
Demon Prince	Lorian, Elder Prince		Slain by Lorian, Elder Prince	
Demon from Below	Ashen One | Slave Knight Gael | Unbreakable Patches		Slain by the Ashen One, assisted by Slave Knight Gael or Unbreakable Patches	
Demon in Pain	Ashen One | Slave Knight Gael | Unbreakable Patches		Slain by the Ashen One, assisted by Slave Knight Gael or Unbreakable Patches	
Dorhys	Ashen One		Slain by the Ashen One	
Dragonslayer Armour	Ashen One | Eygon of Carim | Sirris of the Sunless Realms		Slain by the Ashen One, assisted by Eygon of Carim or Sirris of the Sunless Realms (revived)	revived
Drang Knights	Ashen One		Slain by the Ashen One	
Emma, High Priestess of Lothric Castle			Passed away after the Ashen One defeated the first three Lords of Cinder	
Exile Watchdog (Great Hammer)	Ashen One		Slain by the Ashen One	
Exile Watchdog (Greatsword)	Ashen One		Slain by the Ashen One	
Eygon of Carim			Passed away after the Ashen One defeated the Dragonslayer Armour	
Eygon of Carim	Ashen One		Slain by the Ashen One (dependent on player choice)	determinant
Fallen Knight	Ashen One		Slain by the Ashen One	
Father Ariandel	Ashen One | Slave Knight Gael		Slain by the Ashen One, assisted by Slave Knight Gael	
Fire Keeper	Ashen One		Struck down by the Ashen One (dependent on player choice)	determinant
Flame of Chaos		Ashen One	Eventually extinguished after the last Demon Prince was slain by the Ashen One	
Gravetender Greatwolf	Ashen One		Slain by the Ashen One	
Great Swamp Cuculus			Passed away after helping the Ashen One	
Greirat of the Undead Settlement			Slain while scavenging in Lothric Castle	
Halflight, Spear of the Church	Ashen One | Unbreakable Patches		Slain by the Ashen One, assisted by Unbreakable Patches	
Havel the Rock	Ashen One		Slain by the Ashen One	
Hawkwood the Deserter	Ashen One		Slain by the Ashen One	
High Lord Wolnir	Ashen One		Slain by the Ashen One	
Holy Knight Hodrick	Ashen One		Slain by the Ashen One (revived)	revived
Holy Knight Hodrick	Sirris of the Sunless Realms | Ashen One		Slain by Sirris of the Sunless Realms, assisted by the Ashen One	
Horace the Hushed	Ashen One		Slain by the Ashen One	
Iron Dragonslayer	Ashen One		Slain by the Ashen One	
Iudex Gundyr	Ashen One		Slain by the Ashen One	
King of the Storm	Ashen One | Nameless King		Fatally wounded by the Ashen One, executed by the Nameless King	
Knight Slayer Tsorig	Ashen One		Slain by the Ashen One	
Knight Slayer Tsorig	Ashen One		Slain by the Ashen One (revived)	revived
Lion Knight Albert	Ashen One		Slain by the Ashen One	
Livid Pyromancer Dunnel	Ashen One		Slain by the Ashen One	
Londor Pale Shade	Ashen One		Slain by the Ashen One	
Londor Pale Shade	Ashen One		Slain by the Ashen One (revived)	revived
Longfinger Kirk	Ashen One		Slain by the Ashen One	
Lorian, Elder Prince	Ashen One | Orbeck of Vinheim | Sirris of the Sunless Realms		Slain by the Ashen One, assisted by Orbeck of Vinheim or Sirris of the Sunless Realms	
Lothric, Younger Prince	Ashen One | Orbeck of Vinheim | Sirris of the Sunless Realms		Slain by the Ashen One, assisted by Orbeck of Vinheim or Sirris of the Sunless Realms	
Ludleth of Courland			Burned to ashes when the Ashen One placed the Cinders of the Lords in Firelink Shrine	
Ludleth of Courland	Ludleth of Courland		Burned himself in the First Flame (revived)	revived
Mimic (Catacombs of Carthus)	Ashen One		Slain by the Ashen One	
Mimic (Cathedral of the Deep)	Ashen One		Slain by the Ashen One	
Mimic (High Wall of Lothric)	Ashen One		Slain by the Ashen One	
Mimic (Irithyll of the Boreal Valley)	Ashen One		Slain by the Ashen One	
Mimic (The Ringed City)	Ashen One		Slain by the Ashen One	
Mimics (Irithyll Dungeon)	Ashen One		Slain by the Ashen One	
Mimics (Lothric Castle)	Ashen One		Slain by the Ashen One	
Mimics (Profaned Capital)	Ashen One		Slain by the Ashen One	
Moaning Knight	Ashen One		Slain by the Ashen One	
Nameless King	Ashen One		Slain by the Ashen One	
Oceiros, the Consumed King	Ashen One | Hawkwood the Deserter		Slain by the Ashen One, assisted by Hawkwood the Deserter	
Old Demon King	Ashen One | Great Swamp Cuculus | Knight Slayer Tsorig		Slain by the Ashen One, assisted by Great Swamp Cuculus or Knight Slayer Tsorig	
Old Woman of Londor			Passed away after helping the Ashen One	
Old Woman of Londor	Ashen One		Slain by the Ashen One (dependent on player choice)	determinant
Orbeck of Vinheim			Passed away after the Ashen One defeated the Twin Princes	
Pontiff Sulyvahn	Ashen One | Black Hand Gotthard | Londor Pale Shade | Anri of Astora		Slain by the Ashen One, assisted by Black Hand Gotthard, Londor Pale Shade or Anri of Astora	
Pygmy King	Slave Knight Gael		Throat slashed by Slave Knight Gael	
Ravenous Crystal Lizard (Cathedral of the Deep)	Ashen One		Slain by the Ashen One	
Ravenous Crystal Lizard (Cemetery of Ash)	Ashen One		Slain by the Ashen One	
Ravenous Crystal Lizard (Farron Keep)	Ashen One		Slain by the Ashen One	
Ravenous Crystal Lizards (Untended Graves)	Ashen One		Slain by the Ashen One	
Ringfinger Leonhard	Ashen One		Slain by the Ashen One	
Rosaria, Mother of Rebirth	Ringfinger Leonhard		Slain by Ringfinger Leonhard (revived)	revived
Shira, Knight of Filianore	Ashen One		Slain by the Ashen One (dependent on player choice)	determinant
Silver Knight Ledo	Ashen One		Slain by the Ashen One	
Sir Vilhelm	Ashen One		Slain by the Ashen One	
Sirris of the Sunless Realms			Passed away after the Ashen One defeated the Twin Princes	
Sirris of the Sunless Realms	Ashen One		Slain by the Ashen One (dependent on player choice)	determinant
Sister Friede	Ashen One | Slave Knight Gael		Slain by the Ashen One, assisted by Slave Knight Gael	
Slave Knight Gael	Ashen One		Slain by the Ashen One	
Soul of Cinder	Ashen One | Yuria of Londor | Londor Pale Shade		Slain by the Ashen One, assisted by Yuria of Londor or Londor Pale Shade	
Stray Demon (Dark Souls III)	Ashen One		Slain by the Ashen One	
Sulyvahn's Beast (Irithyll of the Boreal Valley)	Ashen One		Slain by the Ashen One	
Sulyvahn's Beasts (Water Reserve)	Ashen One		Slain by the Ashen One	
Sword Master	Ashen One		Slain by the Ashen One	
Vordt of the Boreal Valley	Ashen One | Lion Knight Albert | Sword Master		Slain by the Ashen One, assisted by Lion Knight Albert or Sword Master	
Yellowfinger Heysel	Ashen One		Slain by the Ashen One	
Yellowfinger Heysel	Ashen One		Slain by the Ashen One (revived)	revived
Yhorm the Giant	Ashen One | Siegward of Catarina		Slain by the Ashen One, assisted by Siegward of Catarina	
Yhorm the Giant	Yhorm the Giant		Burned himself in the First Flame (revived)	revived
Yoel of Londor			Passed away after the Ashen One reaches the Catacombs of Carthus	
