character	killed by	caused by	death	type
Griggs of Vinheim	Chosen Undead		Slain by the Chosen Undead	
Gwyn, Lord of Cinder	Chosen Undead | Solaire of Astora		Slain by the Chosen Undead, assisted by Solaire of Astora	
Gwyn, Lord of Cinder	Gwyn, Lord of Cinder		Burned himself in the First Flame (revived)	temporary
Havel the Rock	Chosen Undead		Slain by the Chosen Undead	
Hellkite Drake	Chosen Undead		Slain by the Chosen Undead	
Hydra (Ash Lake)	Chosen Undead		Slain by the Chosen Undead	
Hydra (Darkroot Basin)	Chosen Undead		Slain by the Chosen Undead	
Iron Golem	Chosen Undead | Black Iron Tarkus		Slain by the Chosen Undead, assisted by Black Iron Tarkus	
Kirk, Knight of Thorns	Chosen Undead		Slain by the Chosen Undead	
Kirk, Knight of Thorns	Chosen Undead		Slain by the Chosen Undead (revived)	temporary
Kirk, Knight of Thorns	Chosen Undead		Slain by the Chosen Undead (revived)	temporary
Knight Artorias	Chosen Undead		Slain by the Chosen Undead	
Knight Lautrec of Carim	Chosen Undead		Slain by the Chosen Undead	
Laurentius of the Great Swamp	Chosen Undead		Slain by the Chosen Undead (dependent on player choice)	variable
Maneater Mildred	Chosen Undead		Slain by the Chosen Undead (revived)	temporary
Manus, Father of the Abyss	Chosen Undead | Great Grey Wolf Sif		Slain by the Chosen Undead, assisted by Great Grey Wolf Sif	
Marvelous Chester	Chosen Undead		Slain by the Chosen Undead (revived)	temporary
Masses of Souls	Chosen Undead		Slain by the Chosen Undead	
Mimic (Sen's Fortress)	Chosen Undead		Slain by the Chosen Undead	
Mimics (Anor Londo)	Chosen Undead		Slain by the Chosen Undead	
Mimics (Oolacile Township)	Chosen Undead		Slain by the Chosen Undead	
Mimics (The Duke's Archives)	Chosen Undead		Slain by the Chosen Undead	
Moonlight Butterfly	Chosen Undead | Witch Beatrice		Slain by the Chosen Undead, assisted by Witch Beatrice	
Necromancers	Chosen Undead		Slain by the Chosen Undead	
Nico of Thorolund	Chosen Undead		Slain by the Chosen Undead	
Oscar, Knight of Astora	Chosen Undead		Slain by the Chosen Undead	
Paladin Leeroy	Chosen Undead		Slain by the Chosen Undead	
Parasitic Wall Hugger	Chosen Undead		Slain by the Chosen Undead	
Pinwheel	Chosen Undead | Paladin Leeroy		Slain by the Chosen Undead, assisted by Paladin Leeroy	
Possessed Trees	Chosen Undead		Slain by the Chosen Undead	
Reah of Thorolund	Petrus of Thorolund		Slain by Petrus of Thorolund (dependent on player choice)	variable
Sanctuary Guardian	Chosen Undead		Slain by the Chosen Undead	
Seath the Scaleless	Chosen Undead		Slain by the Chosen Undead	
Siegmeyer of Catarina	Chaos Eaters		Fatally wounded by Chaos Eaters (dependent on player choice)	variable
Siegmeyer of Catarina	Sieglinde of Catarina		Slain by Sieglinde of Catarina (dependent on player choice)	variable
Solaire of Astora	Chosen Undead		Slain by the Chosen Undead (dependent on player choice)	variable
Stray Demon	Chosen Undead		Slain by the Chosen Undead	
Taurus Demon	Chosen Undead		Slain by the Chosen Undead	
Titanite Demon (Anor Londo)	Chosen Undead		Slain by the Chosen Undead	
Titanite Demon (The Catacombs)	Chosen Undead		Slain by the Chosen Undead	
Titanite Demon (Undead Parish)	Chosen Undead		Slain by the Chosen Undead	
Titanite Demons (Sen's Fortress)	Chosen Undead		Slain by the Chosen Undead	
Undead Dragon (Painted World of Ariamis)	Chosen Undead		Slain by the Chosen Undead	
Undead Dragon (Valley of the Drakes)	Chosen Undead		Slain by the Chosen Undead	
Undead Prince Ricard	Chosen Undead		Slain by the Chosen Undead	
Vince of Thorolund	Chosen Undead		Slain by the Chosen Undead	
Witch Beatrice			Perished during her journey to the Abyss	
Witch of Izalith	Flame of Chaos	Witch of Izalith	Created the Flame of Chaos that consumed her and became the Bed of Chaos	
Xanthous King, Jeremiah	Chosen Undead		Slain by the Chosen Undead	
