character	killer	responsible party	description	type
Mytha, the Baneful Queen	Bearer of the Curse | Jester Thomas | Devotee Scarlett | Bashful Ray		Slain by the Bearer of the Curse, assisted by Jester Thomas, Devotee Scarlett or Bashful Ray	
Nadalia, Bride of Ash	Bearer of the Curse		Soul hosts destroyed by the Bearer of the Curse	
Nameless Usurper	Bearer of the Curse		Slain by the Bearer of the Curse	
Nameless Usurper	Bearer of the Curse		Slain by the Bearer of the Curse (revived)	temporary
Nashandra	Bearer of the Curse | Vengarl of Forossa | Benhart of Jugo | Bradley of the Old Guard		Slain by the Bearer of the Curse, assisted by Vengarl of Forossa, Benhart of Jugo or Bradley of the Old Guard	
Old Dragonslayer	Bearer of the Curse | Masterless Glencour | Devotee Scarlett		Slain by the Bearer of the Curse, assisted by Masterless Glencour or Devotee Scarlett	
Old Iron King	Bearer of the Curse | Manhunter O'Harrah		Slain by the Bearer of the Curse, assisted by Manhunter O'Harrah	
Old Iron King	Smelter Demon		Slain by the Smelter Demon (revived)	temporary
Oliver the Collector	Bearer of the Curse		Slain by the Bearer of the Curse	
Painting Protector	Bearer of the Curse		Slain by the Bearer of the Curse	
Peculiar Kindalur	Bearer of the Curse		Slain by the Bearer of the Curse	
Porcine Peasant	Bearer of the Curse		Slain by the Bearer of the Curse	
Prowlers	Bearer of the Curse		Slain by the Bearer of the Curse	
Prowling Magus	Bearer of the Curse | Benhart of Jugo		Slain by the Bearer of the Curse, assisted by Benhart of Jugo	
Quicksword Rachel	Bearer of the Curse		Slain by the Bearer of the Curse	
Rhoy the Explorer	Bearer of the Curse		Slain by the Bearer of the Curse	
Rockshield Baldyr	Bearer of the Curse		Slain by the Bearer of the Curse	
Royal Rat Authority	Bearer of the Curse		Slain by the Bearer of the Curse	
Royal Rat Vanguard	Bearer of the Curse		Slain by the Bearer of the Curse	
Royal Sorcerer Navlaan	Bearer of the Curse		Slain by the Bearer of the Curse (dependent on player choice)	variable
Royal Sorcerer Navlaan	Bearer of the Curse		Slain by the Bearer of the Curse (revived, dependent on player choice)	temporary, variable
Royal Sorcerer Navlaan	Bearer of the Curse		Slain by the Bearer of the Curse (revived, dependent on player choice)	temporary, variable
Royal Sorcerer Navlaan	Bearer of the Curse		Slain by the Bearer of the Curse (revived, dependent on player choice)	temporary, variable
Royal Sorcerer Navlaan	Bearer of the Curse		Slain by the Bearer of the Curse (revived, dependent on player choice)	temporary, variable
Royal Sorcerer Navlaan	Bearer of the Curse		Slain by the Bearer of the Curse (revived, dependent on player choice)	temporary, variable
Ruin Sentinels	Bearer of the Curse | Pilgrim Bellclaire | Felicia the Brave		Slain by the Bearer of the Curse, assisted by Pilgrim Bellclaire or Felicia the Brave	
Scorpioness Najka	Bearer of the Curse | Manscorpion Tark | Bradley of the Old Guard		Slain by the Bearer of the Curse, assisted by Manscorpion Tark or Bradley of the Old Guard	
Sinh, the Slumbering Dragon	Bearer of the Curse | Transcendent Edde | Abbess Feeva		Slain by the Bearer of the Curse, assisted by Transcendent Edde or Abbess Feeva	
Sir Alonne	Bearer of the Curse | Steel-willed Lorrie | Drifter Swordsman Aidel		Slain by the Bearer of the Curse, assisted by Steel-willed Lorrie or Drifter Swordsman Aidel	
Sir Fabian	Flame of Chaos		Consumed by the Flame of Chaos	
Sir Yorgh	Sinh, the Slumbering Dragon		Poisoned by Sinh, the Slumbering Dragon	
Skeleton Lords	Bearer of the Curse | Bashful Ray | Creighton the Wanderer		Slain by the Bearer of the Curse, assisted by Bashful Ray or Creighton the Wanderer	
Smelter Demon	Bearer of the Curse | Lucatiel of Mirrah		Slain by the Bearer of the Curse, assisted by Lucatiel of Mirrah	
Smelter Demon (Iron Passage)	Bearer of the Curse | Steel-willed Lorrie | Drifter Swordsman Aidel		Slain by the Bearer of the Curse, assisted by Steel-willed Lorrie or Drifter Swordsman Aidel	
Sunken King	Yorgh		Slain by Yorgh	
Syan Knight Dark Spirit	Bearer of the Curse		Slain by the Bearer of the Curse	
The Duke's Dear Freja	Bearer of the Curse | Ashen Knight Boyd | Manhunter O'Harrah | Bashful Ray		Slain by the Bearer of the Curse, assisted by Ashen Knight Boyd, Manhunter O'Harrah or Bashful Ray	
The Last Giant	Bearer of the Curse | Mild-Mannered Pate | Sellsword Luet		Slain by the Bearer of the Curse, assisted by Mild-Mannered Pate or Sellsword Luet	
The Pursuer	Bearer of the Curse		Slain by the Bearer of the Curse	
The Rotten	Bearer of the Curse | Lone Hunter Schmidt | Lucatiel of Mirrah | Bashful Ray		Slain by the Bearer of the Curse, assisted by Lone Hunter Schmidt, Lucatiel of Mirrah or Bashful Ray	
Throne Defender	Bearer of the Curse | Vengarl of Forossa | Benhart of Jugo | Bradley of the Old Guard		Slain by the Bearer of the Curse, assisted by Vengarl of Forossa, Benhart of Jugo or Bradley of the Old Guard	
Throne Watcher	Bearer of the Curse | Vengarl of Forossa | Benhart of Jugo | Bradley of the Old Guard		Slain by the Bearer of the Curse, assisted by Vengarl of Forossa, Benhart of Jugo or Bradley of the Old Guard	
Velstadt, the Royal Aegis	Bearer of the Curse | Grave Warden Agdayne | Devotee Scarlett		Slain by the Bearer of the Curse, assisted by Grave Warden Agdayne or Devotee Scarlett	
Vendrick	Bearer of the Curse		Slain by the Bearer of the Curse	
Vorgel the Sinner	Bearer of the Curse		Slain by the Bearer of the Curse	
Woodland Child Gully	Bearer of the Curse		Slain by the Bearer of the Curse	
Woodland Child Victor	Bearer of the Curse		Slain by the Bearer of the Curse	
Zallen, the King's Pet	Bearer of the Curse | Abbess Feeva | Vengarl of Forossa | Manhunter O'Harrah		Slain by the Bearer of the Curse, assisted by Abbess Feeva, Vengarl of Forossa or Manhunter O'Harrah	
