character	killed by	induced by	death	type
Chonchon (Mission 26 - So Shrill, the Cry)	Lightning's Party		Slain by Lightning's Party	
Cid Raines	Rygdea	Cid Raines	Shot in the head by Rygdea on his own request	
Corrosive Custard (Mission 44 - The Old Ones go to Rust)	Lightning's Party		Slain by Lightning's Party	
Cryptos (Mission 22 - Infernal Machine)	Lightning's Party		Slain by Lightning's Party	
Dahaka	Lightning's Party		Slain by Lightning's Party	
Dreadnought	Lightning | Sazh Katzroy | Oerba Dia Vanille		Slain by Lightning, Sazh Katzroy and Oerba Dia Vanille	
Ectopudding (Mission 01 - Pond Scum)	Lightning's Party		Slain by Lightning's Party	
Edimmu (Mission 05 - Joyless Reunion)	Lightning's Party		Slain by Lightning's Party	
Enki	Oerba Dia Vanille | Sazh Katzroy		Slain by Oerba Dia Vanille and Sazh Katzroy	
Enlil	Oerba Dia Vanille | Sazh Katzroy		Slain by Oerba Dia Vanille and Sazh Katzroy	
Flan (Mission 08 - The Eleventh Hour)	Lightning's Party		Slain by Lightning's Party	
Galenth Dysley	Lightning's Party		Slain by Lightning's Party	
Garuda Interceptor	Lightning | Sazh Katzroy | Oerba Dia Vanille		Slain by Lightning, Sazh Katzroy and Oerba Dia Vanille	
Geiseric (Mission 12 - Geiseric, the Profane)	Lightning's Party		Slain by Lightning's Party	
Gelatitan (Mission 21 - A Tremulous Terror)	Lightning's Party		Slain by Lightning's Party	
Gelatitan (Mission 60 - Dégelà Vu)	Lightning's Party		Slain by Lightning's Party	
Gigantuar (Mission 54 - The Bigger They Are...)	Lightning's Party		Slain by Lightning's Party	
Goblin (Mission 13 - Eternity Unpromised)	Lightning's Party		Slain by Lightning's Party	
Goblin (Mission 15 - Tribal Warfare)	Lightning's Party		Slain by Lightning's Party	
Goblin (Mission 20 - Words Unspoken)	Lightning's Party		Slain by Lightning's Party	
Goblin (Mission 43 - The Hero Never Dies)	Lightning's Party		Slain by Lightning's Party	
Goblin Chieftain (Mission 13 - Eternity Unpromised)	Lightning's Party		Slain by Lightning's Party	
Goblin Chieftain (Mission 15 - Tribal Warfare)	Lightning's Party		Slain by Lightning's Party	
Goblin Chieftain (Mission 20 - Words Unspoken)	Lightning's Party		Slain by Lightning's Party	
Goblin Chieftain (Mission 43 - The Hero Never Dies)	Lightning's Party		Slain by Lightning's Party	
Gorgonopsid (Mission 02 - Goodwill Hunting)	Lightning's Party		Slain by Lightning's Party	
Gurangatch (Mission 23 - Natural Defenses)	Lightning's Party		Slain by Lightning's Party	
Gurangatch (Mission 35 - The Road Less Traveled)	Lightning's Party		Slain by Lightning's Party	
Humbaba (Mission 50 - Road to Predation)	Lightning's Party		Slain by Lightning's Party	
Humbaba (Mission 58 - The Culler of Many)	Lightning's Party		Slain by Lightning's Party	
Hybrid Flora (Mission 44 - The Old Ones go to Rust)	Lightning's Party		Slain by Lightning's Party	
Jabberwocky	Lightning's Party		Slain by Lightning's Party	
Jihl Nabaat	Galenth Dysley		Struck down by Galenth Dysley using his magic	
Juggernaut (Mission 29 - Faltering Faith)	Lightning's Party		Slain by Lightning's Party	
Juggernaut (Mission 61 - I, Juggernaut)	Lightning's Party		Slain by Lightning's Party	
Kaiser Behemoth (Mission 09 - Heave-ho)	Lightning's Party		Slain by Lightning's Party	
Kalavinka Striker	Lightning | Hope Estheim | Oerba Yun Fang		Slain by Lightning, Hope Estheim and Oerba Yun Fang	
Manasvin Warmech	Lightning | Snow Villiers | Oerba Dia Vanille		Slain by Lightning, Snow Villiers and Oerba Dia Vanille	
Menrva	Menrva		Let itself be assimilated into Orphan	
Microchu (Mission 39 - Seeing Stars)	Lightning's Party		Slain by Lightning's Party	
Midlight Reaper	Oerba Dia Vanille | Sazh Katzroy		Slain by Oerba Dia Vanille and Sazh Katzroy	
Mithridates (Mission 27 - Mithridates, the Lone)	Lightning's Party		Slain by Lightning's Party	
Monstrous Flan (Mission 44 - The Old Ones go to Rust)	Lightning's Party		Slain by Lightning's Party	
Munchkin (Mission 06 - No Place Like Home)	Lightning's Party		Slain by Lightning's Party	
Munchkin (Mission 20 - Words Unspoken)	Lightning's Party		Slain by Lightning's Party	
Munchkin (Mission 43 - The Hero Never Dies)	Lightning's Party		Slain by Lightning's Party	
Munchkin (Mission 56 - A Toothy Grin)	Lightning's Party		Slain by Lightning's Party	
Munchkin Maestro (Mission 06 - No Place Like Home)	Lightning's Party		Slain by Lightning's Party	
Munchkin Maestro (Mission 20 - Words Unspoken)	Lightning's Party		Slain by Lightning's Party	
Munchkin Maestro (Mission 43 - The Hero Never Dies)	Lightning's Party		Slain by Lightning's Party	
Mushussu (Mission 24 - A Potent Sting)	Lightning's Party		Slain by Lightning's Party	
Neochu (Mission 45 - Emergent Evolution)	Lightning's Party		Slain by Lightning's Party	
Neochu (Mission 55 - Can't We All Just Get Along?)	Lightning's Party		Slain by Lightning's Party	
Nora Estheim			Fell to her death after the bridge she was on was destroyed by a Skytank	
Numidia (Mission 30 - Syphax, the Insidious)	Lightning's Party		Slain by Lightning's Party	
Ochu (Mission 39 - Seeing Stars)	Lightning's Party		Slain by Lightning's Party	
Orphan	Lightning's Party		Slain by Lightning's Party	
PSICOM Marauder	Lightning | Sazh Katzroy		Slain by Lightning and Sazh Katzroy	
Penanggalan (Mission 26 - So Shrill, the Cry)	Lightning's Party		Slain by Lightning's Party	
Picochu (Mission 55 - Can't We All Just Get Along?)	Lightning's Party		Slain by Lightning's Party	
Pulsework Centurion (Mission 58 - The Culler of Many)	Lightning's Party		Slain by Lightning's Party	
Pulsework Champion (Mission 17 - A Widow's Wrath)	Lightning's Party		Slain by Lightning's Party	
Pulsework Champion (Mission 31 - Newfound Purpose)	Lightning's Party		Slain by Lightning's Party	
Rafflesia (Mission 37 - Dying of the Light)	Lightning's Party		Slain by Lightning's Party	
Rakshasa (Mission 08 - The Eleventh Hour)	Lightning's Party		Slain by Lightning's Party	
Raktavija (Mission 47 - Unfocused Rage)	Lightning's Party		Slain by Lightning's Party	
Raktavija (Mission 62 - Indomitable Will)	Lightning's Party		Slain by Lightning's Party	
Sahagin (Mission 14 - Defender of the Flock)	Lightning's Party		Slain by Lightning's Party	
Sahagin (Mission 16 - Surrogate Slayer)	Lightning's Party		Slain by Lightning's Party	
Sahagin (Mission 57 - What's Yours is Brine)	Lightning's Party		Slain by Lightning's Party	
Seeker (Mission 31 - Newfound Purpose)	Lightning's Party		Slain by Lightning's Party	
Syphax (Mission 30 - Syphax, the Insidious)	Lightning's Party		Slain by Lightning's Party	
Tiamat Eliminator	Lightning's Party		Slain by Lightning's Party	
Tonberry (Mission 34 - Zenobia, The Butcher)	Lightning's Party		Slain by Lightning's Party	
Tonberry (Mission 41 - Gaian Grudge)	Lightning's Party		Slain by Lightning's Party	
Tyrant (Mission 49 - Tyrannicide)	Lightning's Party		Slain by Lightning's Party	
Ugallu (Mission 03 - Massif Contamination)	Lightning's Party		Slain by Lightning's Party	
Ugallu (Mission 56 - A Toothy Grin)	Lightning's Party		Slain by Lightning's Party	
Uridimmu (Mission 02 - Goodwill Hunting)	Lightning's Party		Slain by Lightning's Party	
Uridimmu (Mission 19 - Triangle of Tragedy)	Lightning's Party		Slain by Lightning's Party	
Ushumgal Subjugator	Lightning | Hope Estheim | Oerba Yun Fang		Slain by Lightning, Hope Estheim and Oerba Yun Fang	
Vercingetorix (Mission 64 - The Doomherald)	Lightning's Party		Slain by Lightning's Party	
Verdelet (Mission 04 - A Hero's Charge)	Lightning's Party		Slain by Lightning's Party	
Verdelet (Mission 38 - Moonlit Madness)	Lightning's Party		Slain by Lightning's Party	
Verdelet (Mission 40 - Solar Power)	Lightning's Party		Slain by Lightning's Party	
Verdelet (Mission 48 - The Abyss Stares Back)	Lightning's Party		Slain by Lightning's Party	
Vetala (Mission 25 - Spectral Haunt)	Lightning's Party		Slain by Lightning's Party	
Wladislaus	Lightning's Party		Slain by Lightning's Party	
Yaag Rosch	Yaag Rosch		Blew himself up with a grenade	
Yakshini (Mission 24 - A Potent Sting)	Lightning's Party		Slain by Lightning's Party	
Zirnitra (Mission 46 - On Silent Wings)	Lightning's Party		Slain by Lightning's Party	
Zirnitra (Mission 52 - Head in the Clouds)	Lightning's Party		Slain by Lightning's Party	
Zirnitra (Mission 53 - Freedom from Fear)	Lightning's Party		Slain by Lightning's Party	
Zirnitra (Mission 59 - Two-faced Fiend)	Lightning's Party		Slain by Lightning's Party	
