character	killed by	induced by	death	type
Holimaca	Akame		Poisoned by Akame's Murasame	
Honest		Leone	Tortured and mutilated by rebels after having been disemboweled by Leone	
Honest	Leone		Skull crushed by Leone (anime only)	non-canon
Ibara	Akame		Dismembered by Akame	
Ieyasu	Aria | Aria's Father | Aria's Mother		Fatally wounded after having been tortured by Aria's family	
Iokal	Mine		Shot in the head by Mine	
Izou	Akame		Poisoned by Akame's Murasame	
Kaiser Frog			Died from unknown causes (corpse reanimated by Kurome)	undead
Kaiser Frog	Mine		Blasted from within by Mine	
Kaku	Mine		Disintegrated when blasted by Mine	
Kije	Syura | Enshin | Champ		Raped and murdered by Syura, Enshin and Champ	
Koukei	Leone		Beaten to death by Leone	
Kurome	Akame		Impaled on Murasame by Akame (anime only)	non-canon
Kylie	Akame		Slashed by Akame	
Leone	Honest		Fatally wounded after having been shot and thrown off a building by Honest	
Liver	Bulat		Fatally wounded by Bulat	
Logue	Syura | Enshin | Champ		Raped and murdered by Syura, Enshin and Champ	
Lubbock		Syura	Impaled by multiple spears after being teleported by Syura (anime only)	non-canon
Lubbock	Izou		Cut in half by Izou	
Luna	Luna	Suka	Jumped out of a window after having been tortured by Suka	
Me	Stylish		Devoured by Stylish	
Mez	Lubbock		Stabbed in the back by Lubbock	
Mimi	Stylish		Devoured by Stylish	
Mine	Budo		Fatally wounded by Budo (anime only)	non-canon
Modified Hazardous Beast	Akame		Cut down by Akame	
Natala	Akame		Cut down by Akame	
Natala	Kurome		Stabbed by Kurome after being fatally injured by a soldier (corpse reanimated by Kurome)	undead
Nuge	Esdeath		Mowed down with icicles by Esdeath	
Numa Seika	Esdeath		Skull broken with a kick by Esdeath	
Nyau	Tatsumi		Slain by Tatsumi	
Ogre	Tatsumi		Arms sliced off and slashed by Tatsumi	
Palace Elite Bodyguard	Akame		Slashed by Akame	
Palace Maid	Syura		Throat slit by Syura	
Roger	Lubbock		Neck broken by Lubbock	
Rokugou	Death Tagool | Najenda		Disintegrated by Death Tagool's laser when thrown in it by Najenda	
Rokugou	Kurome		Assassinated by Kurome (corpse reanimated by Kurome)	undead
Run	Akame		Slashed by Akame when shielding Kurome	
Run	Kurome | Champ		Stabbed by Kurome after being fatally wounded by Champ (corpse reanimated by Kurome)	undead
Saikyuu	Akame		Stabbed by Akame	
Sayo	Aria | Aria's Father | Aria's Mother		Tortured to death by Aria's family	
Seryu Ubiquitous	Seryu Ubiquitous | Mine		Detonated a bomb within her after being bifurcated by Mine	
Sheele	Hekatonkheires	Seryu Ubiquitous	Devoured by Hekatonkheires on orders from Seryu Ubiquitous	
Shihandai	Mine		Blasted by Mine	
Shoi		Honest	Executed on orders from Honest	
Spear	Nyau		Face skinned off by Nyau	
Sten	Lubbock		Heart sliced into pieces by Lubbock	
Suka	Lubbock		Hanged by Lubbock	
Susanoo	Esdeath		Core destroyed by Esdeath	
Suzuka	Tatsumi		Crushed by a boulder when Tatsumi destroyed a temple (anime only)	non-canon
Syura	Lubbock		Heart crushed by Lubbock (anime only)	non-canon
Syura	Lubbock		Neck broken by Lubbock	
Tatsumi	The Emperor		Fatally wounded by the Emperor's Shikoutazer (anime only)	non-canon
The Emperor			Publicly beheaded	
The Emperor's Father	Honest		Poisoned by Honest	
The Emperor's Mother	Honest		Poisoned by Honest	
Toby	Akame		Decapitated by Akame	
Tonto	Sheele		Cut in half by Sheele	
Trooma	Leone		Beaten to death by Leone	
Wall	Bols		Incinerated by Bols	
Wall	Kurome		Murdered by Kurome (corpse reanimated by Kurome)	undead
Warumo	Akame		Throat slit by Akame	
Youkan	Akame		Top of his head cut off by Akame	
Zanku	Akame		Throat slashed by Akame	
