character	killed by	caused by	death	type
Olga Marie Asmleit Animusphere	Lev Lainur Flauros		Disassembled on the molecular level after being thrown into CHALDEAS by Lev Lainur Flauros	
Orion (Archer)		Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Phantom of the Opera (Assassin)	Mash Kyrielight | Jeanne d'Arc (Ruler)	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Pierre Cauchon	Jeanne d'Arc Alter (Ruler)		Incinerated by Jeanne d'Arc Alter (Ruler)	
Poseidon	Francis Drake		Defeated by Francis Drake	
Romulus (Lancer)	Mash Kyrielight | Nero Claudius	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Siegfried (Saber)		Mash Kyrielight | Jeanne d'Arc (Ruler) | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Spartacus (Berserker)	Altera (Grand Order)		Annihilated by Altera (Grand Order)'s Noble Phantasm	
Stheno (Assassin)		Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Tamamo Cat (Berserker)		Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Vlad III (Berserker)	Mash Kyrielight | Jeanne d'Arc (Ruler)	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Wolfgang Amadeus Mozart (Caster)		Mash Kyrielight | Jeanne d'Arc (Ruler) | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Zhuge Liang (Caster)	Mash Kyrielight | Nero Claudius	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
